SYMBOL			FILE				LINE
CIACRBF_IN_CNT_TA	hardware/cia.h			*106
CIACRBF_IN_PHI2		hardware/cia.h			*103
CIACRBF_IN_TA		hardware/cia.h			*105
CIACRBF_LOAD		hardware/cia.h			*97
CIACRBF_OUTMODE		hardware/cia.h			*95
CIACRBF_PBON		hardware/cia.h			*94
CIACRBF_RUNMODE		hardware/cia.h			*96
CIACRBF_START		hardware/cia.h			*93
CIAF_COMCD		hardware/cia.h			*157
CIAF_COMCTS		hardware/cia.h			*158
CIAF_COMDSR		hardware/cia.h			*159
CIAF_COMDTR		hardware/cia.h			*155
CIAF_COMRTS		hardware/cia.h			*156
CIAF_DSKCHANGE		hardware/cia.h			*148
CIAF_DSKDIREC		hardware/cia.h			*171
CIAF_DSKMOTOR		hardware/cia.h			*165
CIAF_DSKPROT		hardware/cia.h			*147
CIAF_DSKRDY		hardware/cia.h			*145
CIAF_DSKSEL0		hardware/cia.h			*169
CIAF_DSKSEL1		hardware/cia.h			*168
CIAF_DSKSEL2		hardware/cia.h			*167
CIAF_DSKSEL3		hardware/cia.h			*166
CIAF_DSKSIDE		hardware/cia.h			*170
CIAF_DSKSTEP		hardware/cia.h			*172
CIAF_DSKTRACK0		hardware/cia.h			*146
CIAF_GAMEPORT0		hardware/cia.h			*144
CIAF_GAMEPORT1		hardware/cia.h			*143
CIAF_LED		hardware/cia.h			*149
CIAF_OVERLAY		hardware/cia.h			*150
CIAF_PRTRBUSY		hardware/cia.h			*162
CIAF_PRTRPOUT		hardware/cia.h			*161
CIAF_PRTRSEL		hardware/cia.h			*160
CIAICRB_ALRM		hardware/cia.h			*47
CIAICRB_FLG		hardware/cia.h			*49
CIAICRB_IR		hardware/cia.h			*50
CIAICRB_SETCLR		hardware/cia.h			*51
CIAICRB_SP		hardware/cia.h			*48
CIAICRB_TA		hardware/cia.h			*45
CIAICRB_TB		hardware/cia.h			*46
CIAICRF_ALRM		hardware/cia.h			*76
CIAICRF_FLG		hardware/cia.h			*78
CIAICRF_IR		hardware/cia.h			*79
CIAICRF_SETCLR		hardware/cia.h			*80
CIAICRF_SP		hardware/cia.h			*77
CIAICRF_TA		hardware/cia.h			*74
CIAICRF_TB		hardware/cia.h			*75
CINIT()			graphics/gfxmacros.h		*35
CLEANME			hardware/blit.h			*86
CLEANUP			hardware/blit.h			*85
CLOSE			intuition/intuition.h		*230
CLOSEWINDOW		intuition/intuition.h		*371
CLeft			intuition/intuition.h		*283
CMD_CLEAR		exec/io.h			*43
CMD_FLUSH		exec/io.h			*46
CMD_INVALID		exec/io.h			*38
CMD_NONSTD		exec/io.h			*48
CMD_READ		exec/io.h			*40
CMD_RESET		exec/io.h			*39
CMD_START		exec/io.h			*45
CMD_STOP		exec/io.h			*44
CMD_UPDATE		exec/io.h			*42
CMD_WRITE		exec/io.h			*41
CMOVE()			graphics/gfxmacros.h		*36
COLORON			graphics/display.h		*19
COMMSEQ			intuition/intuition.h		*86
COMMWIDTH		intuition/intuition.h		*763
COMPLEMENT		graphics/rastport.h		*81
COPPER_MOVE		graphics/copper.h		*15
COPPER_WAIT		graphics/copper.h		*16
COUNT			exec/types.h			*33
CPM			dos.h				 76  87  121
CPM68			dos.h				 37
CPM80			dos.h				 31
CPM86			dos.h				 34
CPRNXTBUF		graphics/copper.h		*17
CPR_NT_LOF		graphics/copper.h		*18
CPR_NT_SHT		graphics/copper.h		*19
CR_NEEDS_NO_CONCEALED_RASTERS	graphics/clip.h		*65
CTC_HCLRTAB		devices/console.h		*74
CTC_HCLRTABSALL		devices/console.h		*75
CTC_HSETTAB		devices/console.h		*73
CTop			intuition/intuition.h		*283
CURSORDOWN		intuition/intuition.h		*792
CURSORLEFT		intuition/intuition.h		*790
CURSORRIGHT		intuition/intuition.h		*791
CURSORUP		intuition/intuition.h		*789
CUSTOM			intuition/intuition.h		*719
CUSTOMBITMAP		intuition/intuition.h		*589
CUSTOMSCREEN		intuition/intuition.h		*583
CUSTOM_NAME		intuition/intuition.h		*721
CWAIT()			graphics/gfxmacros.h		*37
CWidth			intuition/intuition.h		*251
CXFERR()		math.h				*121
Carg			graphics/graphint.h		*19
CheckMark		intuition/intuition.h		*446 *518
ChkBase			exec/execbase.h			*27
ChkSum			exec/execbase.h			*39
Class			intuition/intuition.h		*338
ClearPath		graphics/gels.h			*66
ClipRect		graphics/clip.h			 23 *23  33  42  45
							 46 *51  52  53  57
ClipboardUnitPartial	devices/clipboard.h		*26
Clock			graphics/gels.h			*169
ClrIns			graphics/view.h			*30
Code			intuition/intuition.h		*341
ColdCapture		exec/execbase.h			*28
CollMask		graphics/gels.h			*90
ColorMap		devices/printer.h		 135
			graphics/view.h			*15  26 *26
ColorTable		graphics/view.h			*19
Command			intuition/intuition.h		*75
CommandLineInterface	libraries/dosextens.h		*162
ConUnit			devices/conunit.h		*28
CoolCapture		exec/execbase.h			*29
CopIns			graphics/copper.h		*21  62 *62  63
CopLStart		graphics/copper.h		*64
CopList			graphics/copper.h		 25 *58  59  60  74
							 75 *75
			graphics/view.h			 28  29  30
CopPtr			graphics/copper.h		*63
CopSStart		graphics/copper.h		*65
Count			graphics/copper.h		*66
			graphics/rastport.h		*16
			graphics/view.h			*18
			intuition/intuition.h		*311
Custom			hardware/custom.h		*9
CustomBitMap		intuition/intuition.h		*608
DBLPF			graphics/display.h		*20
DBL_DIG			float.h				*22
DBL_MAX_EXP		float.h				*18
DBL_MIN_EXP		float.h				*20
DBUFFER			graphics/rastport.h		*87
DBufPacket		graphics/gels.h			 126 *191
DBuffer			graphics/gels.h			*126
DEADEND_ALERT		intuition/intuition.h		*769
DEFERREFRESH		intuition/intuition.h		*142
DEFFREQ			devices/narrator.h		*37
DEFMODE			devices/narrator.h		*43
DEFPITCH		devices/narrator.h		*34
DEFRATE			devices/narrator.h		*35
DEFSEX			devices/narrator.h		*42
DEFVOL			devices/narrator.h		*36
DELTAMOVE		intuition/intuition.h		*382
DEST			hardware/blit.h			*42
DESTADDR		graphics/copper.h		*44
DESTDATA		graphics/copper.h		*46
DEVICES_AUDIO_H		devices/audio.h			 1 *2
DEVICES_CLIPBOARD_H	devices/clipboard.h		 1 *2
DEVICES_CONSOLE_H	devices/console.h		 1 *2
			devices/conunit.h		 11
DEVICES_GAMEPORT_H	devices/gameport.h		 1 *2
DEVICES_INPUTEVENT_H	devices/conunit.h		 19
			devices/inputevent.h		 1 *2
			intuition/intuition.h		 40
DEVICES_INPUT_H		devices/input.h			 1 *2
DEVICES_KEYBOARD_H	devices/keyboard.h		 1 *2
DEVICES_KEYMAP_H	devices/conunit.h		 15
			devices/keymap.h		 1 *2
DEVICES_NARRATOR_H	devices/narrator.h		 1 *2
DEVICES_PARALLEL_H	devices/parallel.h		 8 *9
